id,name,publisher_id,country_id,year_began,year_ended,is_surrogate,notes,url
2,DC Comics,54,225,1987,NULL,0,"Previously ""DC Comics Inc.""",http://www.dccomics.com/
3,DC Comics Inc.,54,225,1977,1993,0,"Previously ""National Periodical Publications Inc."" and followed by just ""DC Comics.""In 1993 only used on January 1993 comics and some early 1993 graphic novels.",http://www.dccomics.com/
4,National Periodical Publications Inc.,54,225,1961,1977,0,"Previously ""National Comics Publications Inc."" and followed by ""DC Comics Inc.""",NULL
5,National Comics Publications Inc.,54,225,1947,1961,0,"Formed by merging several previous indicia publishers and followed by ""National Periodical Publications Inc.""",NULL
6,Bruns Publications Inc.,74,225,1939,1939,0,First Fox indicia publisher used only briefly,NULL
7,Fox Publications Inc.,74,225,1939,1942,0,Fox's primary pre-War indicia publisher.,NULL
8,Centaur Publications Inc.,58,225,1938,1940,0,Centaur's first actual indicia publisher.  Any company before this one was a predecessor company and not actually part of the Centaur Group.  Continued all four of Ultem's titles and added more.Owned by Joseph J. Hardie; Lloyd Jacquet was editor until departing to form Funnies Inc.,NULL
9,Oni Press Inc.,946,225,NULL,NULL,0,NULL,NULL
10,Charlton Press Inc.,50,225,1959,1974,0,NULL,NULL
11,Dark Horse Comics Inc.,512,225,NULL,NULL,0,NULL,http://www.darkhorse.com/
12,Fox Feature Syndicate Inc.,74,225,1944,1951,0,"Fox's primary post-War indicia publisher.Confusingly a few series in the early 50's featured an indicia publisher of ""Fox Features Syndicate Inc."" (note 's' at end of ""Features"") which is listed as a separate indicia publisher. However that form is rare.",NULL
13,Fox Features Syndicate Inc.,74,225,1950,1950,0,"Probably the result of a typo this alternate company spelling (note the ""s"" on the end of ""Features"") has been spotted on one series (so far) from 1950.  The vast majority of issues list the indicia publisher without the ""s"".",NULL
14,Comic Corporation of America,58,225,1939,1942,0,"The Centaur Group's second and final proper indicia publisher.  Initially published only Amazing Man Comics (which was co-advertised with Centaur Publications Inc. titles as the ""Centaur Group"") but was used for additional new titles several months after the demise of Centaur Publications Inc.",NULL
16,Marvel Publishing Inc.,78,225,2005,2010,0,"A subsidiary of Marvel Entertainment Inc.  Replaced ""Marvel Comics"" on most series with issues cover date February 2006 although there is at least one January 2006 issue with this indicia publisher.  Replaced by ""Marvel Worldwide Inc."" mostly with issues cover-dated April 2010 but for at least one series with the May 2010 issue.",NULL
17,Image Comics Inc.,709,225,NULL,NULL,0,NULL,NULL
18,America's Best Comics LLC,54,225,1999,2008,0,NULL,NULL
19,WildStorm Productions,54,225,1999,2011,0,NULL,http://www.dccomics.com/wildstorm/
20,Bongo Entertainment Inc.,729,225,NULL,NULL,0,NULL,NULL
21,All American Printing Co. Inc.,54,225,1960,1965,0,Used for two Superman Annuals in 1960 and for 80-Page Giant #8 in 1965.,NULL
22,Dynamite Entertainment,2550,225,NULL,NULL,0,NULL,NULL
23,Nantier • Beall • Minoustchine Publishing inc.,525,225,NULL,NULL,0,NULL,NULL
24,CrossGen Comics LLC,1797,225,2003,2004,0,NULL,NULL
25,IDW Publishing,1977,225,NULL,NULL,0,NULL,NULL
26,Marvel Comics Group,78,225,1973,1994,0,Appears only infrequently after 1987.,NULL
28,Homage Comics,54,225,1999,2004,0,NULL,NULL
29,Family Comics Inc.,76,225,1942,1955,0,Address in 1942 given as 420 Desoto Avenue St. Louis MO.Addresses in 1946:  Publication: 1117 Wolfendale St. Pittsburgh Pa.  Editorial Executive and Advertising: 1869 Broadway New York 23 N. Y.Some sources (including Keltner) list Family Comics Inc. as the publisher of the final issue of Speed Comics in 1947.  However scans show that that issue does not have an indicia on the inside front cover or anywhere else leaving the official publisher ambiguous.  However Harvey Publications Inc. which took over Green Hornet from Family Comics Inc. at the same time with a similar gap between issues seems like a more likely guess.It is still possible though that Family Comics Inc. was used in 1947 as the indicia publishers of All New Comics #14-15 have not been confirmed.  However it seems reasonable that they would match Speed Comics #44 and the contemporary issues of Green Hornet Comics.,NULL
30,Farrar Strauss and Giroux,3311,225,NULL,NULL,0,NULL,NULL
31,Marvel Comics,78,225,1987,2006,0,"Replaced ""Marvel Comics Group"" mostly starting with issues cover-dated June 1987 although at least one May 1987 issue was published on this indicia publisher.  Replaced by ""Marvel Publishing Inc."" around February 2006 although at least one January 2006 issue already has the new company listed.",http://www.marvel.com/
32,Western Publishing Company Inc.,286,225,NULL,NULL,0,NULL,NULL
33,Visual Editions Inc.,1972,225,NULL,NULL,0,Address in 1948 was 10 East 40th Street New York 16 N. Y.,NULL
34,I. W. Enterprises Inc.,278,225,NULL,NULL,0,NULL,NULL
35,Animated Cartoons Inc.,1972,225,NULL,NULL,0,Address as of 1949 10 East 40th Street New York 16 N. Y.,NULL
36,Hero Books Inc.,74,225,1949,1950,0,Used concurrently with Fox Feature Syndicate Inc. towards Fox's final years.,NULL
37,Chicago Nite Life News Inc.,74,225,1945,1945,1,One of several surrogate publishers used by Fox as it resumed operations towards the end of the War.,NULL
38,Larkin Roosevelt & Larkin,74,225,1944,1944,1,One of several surrogates Fox used as it resumed operations towards the end of the War.,NULL
39,R. W. Voigt,74,225,1944,1944,1,One of several surrogates Fox used as it resumed operations towards the end of the War.,NULL
40,Wm H. Wise & Co. Inc.,74,225,1944,1945,1,The most common of several surrogates Fox used as it resumed operations towards the end of the War.,NULL
42,Style Publications,74,225,1947,1947,0,To date found only on one issue about which little is known.,NULL
43,Holyoke Publishing Co. Inc.,92,225,1941,1946,0,"See also ""Holyoke Publishing Co."" used from 1946-1948.",NULL
44,Holyoke Publishing Co.,92,225,1942,1948,0,"This form of the company name was primarily used from 1946 onwards however at least one use in 1942 is known.See also ""Holyoke Publishing Co. Inc."" used from 1941-1946.",NULL
45,Dell Publishing Co. Inc.,61,225,NULL,NULL,0,NULL,NULL
46,Ace Magazines Inc.,84,225,NULL,NULL,0,NULL,NULL
47,Excellent Publications Inc.,226,225,NULL,NULL,0,NULL,NULL
48,Verlag Sackmann und Hörndl,623,54,1985,NULL,0,NULL,NULL
49,Drawn and Quarterly Publications,1146,36,1992,NULL,0,NULL,http://www.drawnandquarterly.com/
50,Vortex Comics Incorporated [CA],483,36,1986,1991,0,Address until March 1989 was 367 Queen St. W. Toronto Ont. Canada M5V 2A4.Address after June 1989 was R.R.# 8 Elmbrook Rd. Picton Ontario Canada K0K 2T0.Address as of July 1991 was P.O. Box 215 Station F Toronto Ontario M4Y 1T0.Sometimes appears as Vortex Comics Inc.,NULL
51,National Allied Publications Inc.,54,225,1935,1937,0,One of the Wheeler-Nicholson indicia publishers.,NULL
52,National Allied Newspaper Syndicate Inc.,54,225,1935,1936,0,One of the Wheeler-Nicholson indicia publishers.,NULL
53,More Fun Magazine Inc.,54,225,1936,1936,0,One of the Wheeler-Nicholson indicia publishers.,NULL
54,Close-Up Inc.,71,225,1945,1989,0,NULL,NULL
55,Splitter Verlag GmbH & Co. KG,642,54,2006,NULL,0,NULL,http://www.splitter-verlag.eu/
56,Fantagraphics Books,445,225,1983,NULL,0,NULL,NULL
57,Dark Horse Books,512,225,1996,NULL,0,Full title is: Dark Horse Books a Division of Dark Horse Comics Inc.,NULL
58,Tilsam Publications Inc.,54,225,1943,1945,0,Used in comics only for All-Funny Comics. Tilsam is an unusual example for DC of their using an indicia publisher that existed before comic books being used to publish Real Screen Fun from 1934 to 1943. It's possible that WW2 paper allotments was the reason for this useage.,NULL
59,Signal Publishing Company,54,225,1951,1961,0,Used for DC's romance comics.  The years are uncertain; they likely include the listed years but could extend on either end.,NULL
60,Beverly Publishing Company,54,225,1951,1954,0,Used for DC's romance comics.  The years are uncertain; they likely include the listed years but could extend on either end.,NULL
61,Arleigh Publishing Corporation,54,225,1961,1967,0,"Replaces ""Arleigh Publishing Company"" in late 1961.",NULL
62,William H. Wise & Company,54,225,1944,1944,1,Surrogate for All-American Comics likely to get around paper restrictions for World War II.  Used for Big All-American Comic Book and Ed Wheelan's Joke Book.,NULL
63,Wonder Woman Publishing Company Inc.,54,225,1942,1947,0,"One of the All-American Comics indicia publishers.  Merged into ""National Comics Publications Inc.""",NULL
64,J. R. Publishing Co.,54,225,1941,1947,0,"One of the All-American Comics indicia publishers.  Merged into ""National Comics Publications Inc."" The J. and R. are taken from the first names of Jessie Gaines and Rosa Liebowitz.",NULL
65,Jolaine Publications Inc.,54,225,1941,1946,0,"One of the All-American Comics indicia publishers.  Merged into ""National Comics Publications Inc.""",NULL
66,Gainlee Publishing Co.,54,225,1942,1946,0,"One of the All-American Comics indicia publishers.  Merged into ""National Comics Publications Inc.""Sometimes written as ""The Gainlee Publishing Co."" or ""the Gainlee Publishing Co.""",NULL
67,All-American Comics Inc.,54,225,1939,1947,0,"One of the All-American Comics indicia publishers.  Merged into ""National Comics Publications Inc.""",NULL
68,World's Best Comics Company,54,225,1941,1941,0,Only used in World's Best Comics (DC 1941 series) #1 and World's Finest Comics (DC 1941 series) #2.,NULL
69,Superman Inc.,54,225,1940,1958,0,"Merged into ""National Comics Publications Inc.""Used in comics 1940-47 but appears on comic insert with Superman costume in the 1950s.",NULL
70,Detective Comics Inc.,54,225,1937,1947,0,"Merged into ""National Comics Publications Inc.""",NULL
71,A.I. Menin rec. Nicholson Publishing Co. Inc.,54,225,1938,1938,0,"Used for three issues when Wheeler-Nicholson's company went bankrupt (it does specifically say ""Published By"" and then that title).  Merged into ""Detective Comics Inc."" when its owners bought Nicholson Publishing Co. Inc.'s two titles at the bankruptcy auction.  Note that it was only the titles that were purchased not the entire company nor all of its assets.",NULL
72,Nicholson Publishing Co. Inc.,54,225,1936,1938,0,"One of the Wheeler-Nicholson indicia publishers.  Became ""A.I. Menin rec. Nicholson Publishing Co. Inc."" when his company went bankrupt.",NULL
74,Boom! Kids,2547,225,2009,2011,0,NULL,NULL
75,Boom! Studios,2547,225,2005,NULL,0,A division of Boom Entertainment Inc.,http://www.boom-studios.net/
76,Organización Editorial Novaro S. A.,3947,150,1963,1985,0,NULL,NULL
77,Ediciones Recreativas S. A.,3947,150,1952,1963,0,NULL,NULL
78,Sociedad Editora América S. A.,3947,150,1951,NULL,0,NULL,NULL
79,Editorial Alegría S. A.,3947,150,1952,NULL,0,NULL,NULL
80,Hampshire Distributors Ltd.,54,225,1971,1971,0,Used for the Jack Kirby magazines.,NULL
81,Magazine Management Co. Inc.,78,225,1969,1978,0,NULL,NULL
82,Harvey Picture Magazines Inc.,76,225,1953,1982,0,NULL,NULL
83,K. K. Publications Inc.,286,225,NULL,NULL,0,NULL,NULL
84,Fawcett Publications Inc.,1974,225,1964,1976,0,NULL,NULL
85,Archie Comic Publications Inc.,71,225,1941,NULL,0,NULL,NULL
86,Charlton Publications Inc.,50,225,1961,1986,0,NULL,NULL
87,Timely Comics Inc.,78,225,1941,1957,0,End date uncertain.  This indicia publisher was used at least as late as 1957 (on romance titles) after which at least some of those titles switched to a different indicia publisher.,NULL
88,Planeta Comics,4437,65,1982,1982,0,Used only in Espada salvaje de Conan La (1982 series) #1,NULL
89,Planeta,4437,65,1982,1985,0,Address:Paseo de La Habana 136Madrid 16,NULL
90,U.S.A. Comic Magazine Corp.,78,225,1941,1956,0,NULL,NULL
91,Hillman Periodicals Inc.,91,225,NULL,NULL,0,NULL,NULL
92,St. John Publishing Company,220,225,NULL,NULL,0,NULL,NULL
93,VIZ Media LLC,594,225,2003,NULL,0,VIZ Media LLCPO Box 77010San Francisco CA 94107,NULL
94,Gemstone Publishing,1815,225,NULL,NULL,0,NULL,NULL
95,Radio Comics Inc.,71,225,1954,1986,0,NULL,NULL
96,Aller Media AS,1563,160,NULL,NULL,0,NULL,NULL
97,Parkway Publishing Company,145,225,1950,1953,0,NULL,NULL
98,Timely Publications,78,225,1939,1941,0,This is the original business name under which Martin Goodman began publishing comics in 1939.  It was used on all issues up to and including those cover-dated March 1941 or Winter 1940-1941 spanning the period from Marvel Comics #1 to Captain America Comics #1.  It was replaced by Timely Comics Inc. starting with all issues cover-dated April 1941 or Spring 1941.Editorial address during the 1939-1941 period: 330 W. 42nd St. N. Y. N. Y.Publication addresses:  * Marvel Comics #1: 81 Spring St. Newark N. J.  * Dec. 1939 - May 1940 (Marvel Mystery [#5-7 unconfirmed] and Daring Mystery):  8 Lord St. Buffalo N. Y.  * June 1940 onwards: Meriden Conn. [Marvel Mystery #8 unconfirmed]Mystic Comics #1 and #2 (March and April 1940) give no separate publication address and filed for 2nd class status in New York N. Y.  Mystic Comics #3 (June 1940) gives no separate publication address but filed for 2nd class status in Meriden Conn.  As of #4 the publication address is Meriden Conn.,NULL
99,Select Publications Inc.,78,225,1942,1950,0,Actual periods of use:  1942-1943; 1949-1950,NULL
100,Manvis Publications Inc.,78,225,1943,1959,0,NULL,NULL
101,Feature Publications Inc.,102,225,NULL,NULL,0,NULL,NULL
102,First Publishing Inc. and The Berkley Publishing Group Inc.,463,225,1989,1991,0,NULL,NULL
103,Avatar Press Inc.,1052,225,NULL,NULL,0,NULL,NULL
104,Hallden Division of Fawcett Publications,88,225,NULL,NULL,0,NULL,NULL
105,Civil Service Publications Incorporated,2208,225,1945,1945,0,NULL,NULL
106,Charlton Comics Group,50,225,1954,1968,0,NULL,NULL
107,Say-Bart Productions Inc.,2582,225,1947,1947,0,NULL,NULL
109,Bell Features and Publishing Company Limited,1988,36,NULL,NULL,0,At the time Bell was using this indicia they were not putting dates on their comics.,NULL
110,Superior Publishers Limited,223,36,1947,1956,0,NULL,NULL
111,Commercial Signs of Canada,1988,36,1939,1942,0,NULL,NULL
112,Anglo-American Publishing Company Limited,109,36,NULL,NULL,0,NULL,NULL
113,Approved Comics Inc,212,225,1950,1952,0,NULL,NULL
114,The Frank Publishing Company,50,225,1945,1946,0,Address given as 49 Hawkins St Derby CT.,NULL
115,Tiny Tot Comics Inc.,169,225,1946,1955,0,NULL,NULL
116,The Charles Publishing Company,2998,225,1946,1946,0,NULL,NULL
122,Viz LLC,594,225,NULL,NULL,0,NULL,NULL
123,Warren Publishing Co.,279,225,1964,1983,0,NULL,NULL
124,Editorial Planeta DeAgostini S.A.,4437,65,1983,NULL,0,Address:Aribau 18508021 Barcelona,http://www.planetadeagostini.es/
125,Ediciones Forum S.A.,4437,65,1985,2000,0,Address:Córcega 273-277Barcelona-8,NULL
126,Jippi Forlag A/L,1609,160,NULL,NULL,0,NULL,NULL
127,Warren Publishing Co. Inc.,279,225,1967,1971,0,NULL,NULL
128,Comic Favorites Inc.,67,225,1937,1956,0,"The first indicia publisher of what would become Quality still in use during the final month of Quality's existence (cover dates December 1956).Contrary to what is often reported there is no evidence that Harry ""A"" Chesler was ever an owner of this company or in any way a ""pre-Quality"" publisher.  He is not mentioned anywhere in Feature Funnies #1 or #2 and the earliest available statement of ownership (from #16) lists Everett M. Arnold Frank J. Markey Henry P. Martin Jr. and Frank J. Murphy as co-owners.Above information assembled by Henry Andrews from his collection and information at www.goldenagecomics.co.uk and www.bipcomics.com.",NULL
129,Everett M. Arnold,67,225,1939,1950,0,"Actual years of use 1939; 1946-19501939 usage continued as ""E. M. Arnold""Address of publication [1939]:1213 W. 3rd St. Cleveland Ohio.No other 1939 addresses given.Addresses [1946-1950]:Publication:8 Lord Street Buffalo N. Y.Executive offices:Gurley Building 322 Main Street Stamford Conn. [1946 1947]578 Summer St. Stamford Conn. [1948]Editorial and Advertising offices:415 Lexington Avenue New York 17 N. Y. [1946]25 West 45th St. New York 19 N. Y. [1947 1948]Addresses based on a small number of indicia and may not be comprehensive.",NULL
130,Ehapa Verlag GmbH,677,54,NULL,NULL,0,NULL,NULL
131,Paragon Publications,454,225,1969,NULL,0,NULL,NULL
132,Speakeasy Comics,2556,36,2005,2006,0,NULL,NULL
133,Rucker Publications Ltd.,3107,36,NULL,NULL,0,NULL,NULL
134,Kitchen Sink Press,349,225,1977,1999,0,NULL,NULL
135,Comic Magazines,67,225,1940,1956,0,Direct successor to Comic Magazines Inc.,NULL
136,Archaia Studios Press,2063,225,NULL,NULL,0,NULL,NULL
137,Home Comics Inc.,76,225,1946,1958,0,NULL,NULL
138,Corporate Kingdom Holdings Inc.,2542,225,NULL,NULL,0,NULL,NULL
139,Aardvark-Vanaheim Inc.,380,36,NULL,NULL,0,NULL,NULL
141,Egmont Serieforlaget AS,2105,160,NULL,NULL,0,NULL,NULL
142,A/S Hjemmet,1559,160,NULL,NULL,0,NULL,NULL
143,A/S Hjemmet - Bladforlaget,1559,160,NULL,NULL,0,NULL,NULL
144,Se-bladene,1514,160,NULL,NULL,0,NULL,NULL
145,SEMIC/nordisk forlag AS,1847,160,NULL,NULL,0,NULL,NULL
146,Serieforlaget A/S,1657,160,NULL,NULL,0,NULL,NULL
147,Ediciones Zinco S.A.,4431,65,1982,1996,0,Address / Dirección 1:C/Valencia 245 - 2º -3ª08007  BarcelonaAddress / Dirección 2:C/ Aragón 264 - 5º -1ª08007  BarcelonaAddress / Dirección 3:C/ Avda. de Roma 157 - 9º08011  Barcelona,NULL
148,Ediciones Glenat S.L.,4936,65,1990,NULL,0,Address / Dirección:c/ Sancho de Ávila 83-894ª planta08018 BarcelonaPhone / Teléfono:93 309 59 14 / 93 309 59 15Address / Dirección 2:c/Tànger 82 1°08018 BARCELONA,http://www.edicionesglenat.es/
149,Four Star Publications Inc.,226,225,NULL,NULL,0,Address: 30 East 60th Street New York.,NULL
150,Four Star Comic Corp.,226,225,NULL,NULL,0,Address: 540 Park Ave New York,NULL
151,Bladkompaniet A.S.,1513,160,NULL,NULL,0,NULL,NULL
152,Adventure Comics,613,225,NULL,NULL,0,Adventure Comics became a division of Malibu Graphics,NULL
153,Del Rey Books,2216,225,NULL,NULL,0,Del Rey Books an imprint of The Random House Publishing Group,NULL
156,Ukebladet Hjemmet,1559,160,NULL,NULL,0,NULL,NULL
157,Star Publications Inc.,27,225,1949,1954,0,Address as of 1953 is 8 Lord Street Buffalo 10 N.Y.,NULL
158,A/S Hjemmet - Serieforlaget,1559,160,NULL,NULL,0,NULL,NULL
159,Se-bladene A/S,1514,160,NULL,NULL,0,NULL,NULL
160,Eclipse Books,405,225,1985,1993,0,NULL,NULL
161,Eggplant Inc.,4468,36,NULL,NULL,0,"Indicia for Pulp Tattoo states ""published by Eggplant Inc. in cooperation with Blind Bat Press"".",NULL
162,Blind Bat Press,4468,36,NULL,NULL,0,NULL,NULL
163,Mr. Comics,2938,36,NULL,NULL,0,NULL,NULL
164,Double Diamond Press,579,225,NULL,NULL,0,NULL,NULL
165,Ultraist Studios Inc.,4724,36,NULL,NULL,0,NULL,NULL
166,Drawn & Quarterly,1146,36,1997,NULL,0,NULL,NULL
167,Birch Bark Comics,4442,36,NULL,NULL,0,NULL,NULL
168,Eclipse Comics,405,225,1984,1993,0,NULL,NULL
169,Comic Combine Corp.,78,225,1948,1956,0,NULL,NULL
170,Medalion Publishing Corp.,78,225,1943,1957,0,"Dates unconfirmed but the publisher existed for at least these years.  ""Medalion"" (with one ""l"") is the correct spelling.",NULL
171,Daring Comics Inc.,78,225,1943,1947,0,Dates unconfirmed but publisher was in operation for at least these years.,NULL
172,Andrews McMeel Publishing LLC,600,225,1975,NULL,0,An Andrews McMeel Universal company.,http://www.andrewsmcmeel.com/
173,Metro Books,4027,225,1997,NULL,0,An imprint of Sterling Publishing.,http://www.sterlingpublishing.com/imprints?imprint=Metro+Books
174,Snap Publishing Co. Inc.,78,225,1943,1946,0,Only used on the Spring 1943 - Winter 1946-47 issues of The Human Torch.,NULL
175,Better Publications Inc.,1972,225,NULL,NULL,0,NULL,NULL
176,Asylum Press Inc,5493,225,1999,NULL,0,NULL,NULL
177,Moonstone,1027,225,1996,NULL,0,NULL,http://www.moonstonebooks.com/
178,Famous Funnies Inc.,51,225,1936,1951,0,NULL,NULL
179,Creston Publications Corp.,185,225,1943,1953,0,NULL,NULL
180,Avon Periodicals Inc.,197,225,NULL,NULL,0,NULL,NULL
181,Periodical House Inc.,84,225,NULL,NULL,0,NULL,NULL
182,Headline Publications Inc.,102,225,NULL,NULL,0,NULL,NULL
183,Toby Press Inc.,201,225,NULL,NULL,0,NULL,NULL
184,Americomics,454,225,NULL,NULL,0,NULL,NULL
185,Fictioneer Books Ltd.,487,225,NULL,NULL,0,NULL,NULL
186,Image Comics,709,225,NULL,NULL,0,Seen in Savage Dragon #28.,NULL
187,D.S. Publishing Company Inc.,2150,225,NULL,NULL,0,NULL,NULL
188,Topps Chewing Gum Co.,717,225,1965,1965,0,Dates listed are dates of only known publication; may be others.,NULL
189,Collegian Press,1972,225,NULL,NULL,0,Used on various magazines including College Life and the comics-filled Cartoon Humor.,NULL
190,Superhuman Works Inc.,5681,225,2007,2007,0,NULL,NULL
191,Arcana Studio,3161,225,2003,NULL,0,NULL,http://www.arcanastudio.com/
192,Realistic Comics Inc.,197,225,NULL,NULL,0,NULL,NULL
193,Dork Storm Press,2071,225,NULL,NULL,0,Dork Storm PressPO Box 45063Madison WI 53744,NULL
194,Pendulum Press Inc.,2824,225,NULL,NULL,0,Pendulum Press Inc.West Haven CT 06516,NULL
195,Fenickx Productions LLC.,4741,225,NULL,NULL,0,NULL,NULL
196,Running Press Book Publishers,878,225,1996,NULL,0,A member of the Perseus Books Group,http://www.runningpress.com/
197,Topps Comics Inc,717,225,1992,1998,0,NULL,NULL
198,Topps Comics Inc. and Gareb Shamus Enterprises Inc. DBA Wizard Press,3564,225,1996,1997,0,Joint publisher for Wizard 1/2 issues that contained Topps Comics Properites.  Taken from X-Files 1/2.,NULL
199,Innovative Corporation,612,225,NULL,NULL,0,NULL,NULL
200,Malibu Comics,709,225,1992,1993,1,The earliest Image books were all published by Malibu as is stated in the indicia.  It wasn't long before the Image gang began publishing their own books and left Malibu. The first solo Image titles appeared with June 1993 cover dates.,NULL
201,Viz Comics,594,225,NULL,NULL,0,NULL,NULL
202,Bluewater Productions,5043,225,2007,NULL,0,NULL,http://www.bluewaterprod.com/
203,Robot Publishing Co.,4489,225,NULL,NULL,0,NULL,NULL
204,Aladdin,659,225,1978,NULL,0,An imprint of Simon & Schuster Children's Publishing Division.  2009 address: 1230 Avenue of the Americas New York NY 10020.,NULL
205,Fact & Fiction Publications,149,225,1945,1946,0,Some issues of Golden Lad use the and instead of ampersand.,NULL
206,Caliber Comics,604,225,1989,2000,0,NULL,NULL
207,Gyldendal Norsk Forlag A/S,2951,160,NULL,NULL,0,NULL,NULL
208,Dynamic Publications Inc.,112,225,1941,1942,0,Chesler's last pre-War publishing company and the one most directly related to his post-War activities.,NULL
209,Harry A. Chesler Jr. Publications Inc.,112,225,1946,1946,0,"Note that it is A. (period no quotes) in the indicia and not the familiar ""A"" (quotes no period) that appears nearly everywhere else.Chesler's publishing company during the last year of his ongoing titles which were later picked up by Superior Publishers Limited of Canada.",NULL
210,Educational Publishing Co.,112,225,1945,1945,1,The minimal indicia in the one known issue by this publisher combined with the supposed date (not actually mentioned in the indicia and there is no copyright statement) makes it highly likely that this was a surrogate publishing arrangement for Chesler.,NULL
211,Chicago Nite Life News Inc.,112,225,1944,1944,1,This publishing company served as a surrogate for numerous other publishers.,NULL
212,H. Clay Glover Co.,112,225,1944,1945,1,NULL,NULL
213,Pershing Square Publishing Co.,112,225,1945,1945,1,While the indicia used by this company is unusually complete for a surrogate Pershing Square published comics on behalf of other publishers as well.,NULL
214,Norma Editorial S.A.,869,65,1977,NULL,0,NULL,NULL
215,Carlsen Verlag GmbH,2557,54,NULL,NULL,0,NULL,NULL
216,Magazine Press,112,225,NULL,NULL,0,Used for an undated publication (possibly 1942?) of Captain Battle #3 a continuation of a Lev Gleason (New Friday) title.  The exact nature of this publishing arrangement is unknown but Chesler's syndicate name appears on the front cover.,NULL
217,Warwick Publications Inc.,78,225,1956,1958,0,Specific start and end dates unknown at this time.,NULL
218,S. Fischer Verlag GmbH,5695,54,NULL,NULL,0,NULL,http://www.fischerverlage.de/
219,Romanforlaget A/S,1567,160,NULL,NULL,0,NULL,NULL
220,Disney Comics Inc,637,225,NULL,NULL,0,NULL,NULL
221,Malibu Comics Entertainment Inc.,613,225,1987,1996,0,NULL,NULL
222,Animirth Comics Inc.,78,225,1943,1956,0,Specific start and end dates unknown at this time.,NULL
223,Jubilee Publications Inc.,220,225,NULL,NULL,0,NULL,NULL
224,COMICO the Comic Company,459,225,NULL,NULL,0,NULL,NULL
225,First Comics Inc,463,225,1983,NULL,0,Ended in 1990 was then revived in 2015.,NULL
226,Epic Comics,78,225,1987,1995,0,NULL,NULL
227,Maximum Press,825,225,NULL,NULL,0,NULL,NULL
228,Gladstone Publishing Ltd.,493,225,NULL,NULL,0,NULL,NULL
229,Thomas Nelson,4899,225,1969,NULL,0,NULL,http://www.thomasnelson.com/
230,CrossGeneration Comics Inc.,1797,225,2000,NULL,0,NULL,NULL
231,McClelland & Stewart Ltd.,5696,36,1918,NULL,0,NULL,NULL
232,Continuity Publishing Inc.,475,225,NULL,NULL,0,NULL,NULL
233,AC Comics,454,225,NULL,NULL,0,NULL,NULL
234,Flying Cadet Publishing Co. Inc.,112,225,1944,1946,0,Chesler's main post-war ongoing titles were published by this company through early 1946 after which the company was replaced by Harry A. Chesler Jr. Publications Inc.  Flying Cadet Publishing Co. was founded on 1 September 1944 and owned by the Chesler family.,NULL
235,Best Syndicated Features Inc.,185,225,1949,1967,0,NULL,NULL
236,Futurum Forlag A/S,1749,160,NULL,NULL,0,NULL,NULL
237,Cappelen Damm AS,5016,160,NULL,NULL,0,NULL,NULL
238,CG Entertainment Inc.,1797,225,2002,NULL,0,NULL,NULL
239,Hachette Book Group USA,4593,225,NULL,NULL,0,NULL,NULL
240,A/S Allers Familie-Journal,1563,160,NULL,NULL,0,NULL,NULL
241,Delta Verlag GmbH,677,54,NULL,NULL,0,Der Delta Verlag ist ein Joint Venture zwischen dem französischen Verlag Dargaud und Egmont Ehapa. Wenn Egmont Ehapa eine Lizenz von Dargaud übernimmt steht im Prinzip immer Delta drauf. Hier teilen sich Dargaud und Ehapa die Erlöse und die Kosten in einem vertraglich festgelegten Verhältnis.,NULL
242,Williams Forlag A/S,2125,160,NULL,NULL,0,NULL,NULL
243,Fantagraphics Books Inc.,445,225,1982,NULL,0,NULL,http://www.fantagraphics.com/
244,Pocket Books New York,690,225,NULL,NULL,0,NULL,NULL
245,Bloomsbury Publishing Plc,5343,75,NULL,NULL,0,36 Soho SquareLondon W1D 3QY,http://www.bloomsbury.com/
246,BIG Entertainment Inc.,847,225,1995,1997,0,NULL,NULL
247,Strato Publications Ltd.,3349,75,NULL,NULL,0,Address: 39 Upper Brook Street London W.1.,NULL
248,Leading Comic Corp.,78,225,1948,1952,0,NULL,NULL
249,Canam Publishers Sales Corp.,78,225,1952,1968,0,NULL,NULL
250,Interstate Publishing Corp.,78,225,1949,1966,0,NULL,NULL
251,Margood Publishing Corporation,78,225,1946,1957,0,NULL,NULL
252,Marvel Comics Inc.,78,225,1944,1969,0,"End date uncertain at this time.  Used continuously from 1944 at least into the mid to late 50's and again in the late 60's.  No known uses after the 60's.  Note that ""Marvel Comics"" without the ""Inc."" was used for quite some time in the 80's 90's and 00's but is considered a distinct company.",NULL
253,Atlas News Company Inc.,78,225,NULL,1957,0,NULL,NULL
254,Hercules Publishing Corporation,78,225,NULL,1964,0,NULL,NULL
255,Marjean Magazine Corp.,78,225,1948,1957,0,Marjean very likely derives from the first names of publisher Martin Goodman and his wife Jean.,NULL
256,20th Century Comic Corp.,78,225,1943,1957,0,NULL,NULL
257,Young Allies Inc.,78,225,1943,1947,0,End date Winter 1946-1947,NULL
258,Broadcast Features Publications Inc.,78,225,NULL,1956,0,NULL,NULL
259,Classic Detective Stories Inc.,78,225,NULL,1957,0,NULL,NULL
260,Current Detective Stories Inc.,78,225,1943,1957,0,NULL,NULL
261,London Publishing Corporation,78,225,1945,1945,0,NULL,NULL
262,Official Comics Inc.,78,225,1947,1955,0,NULL,NULL
